0	481	316	601	509	482
1	316	425	63	113	11
2	49	97	126	63	169
3	11	63	171	481	173
4	11	63	113	316	481
5	113	601	659	314	63
6	168	523	113	311	300
7	168	11	63	113	172
8	601	509	198	477	63
9	316	168	659	113	314
10	406	113	63	11	49
11	63	316	11	494	425
12	113	63	168	198	472
13	481	168	126	113	482
14	316	63	11	97	113
15	49	168	481	63	509
16	481	55	49	63	316
17	113	509	190	300	482
18	126	49	173	481	168
19	63	316	113	11	406
20	481	11	168	113	63
21	11	113	168	63	601
22	316	113	11	63	472
23	168	113	406	481	601
24	481	316	11	63	509
25	173	168	97	113	481
26	97	63	425	316	55
27	168	113	481	63	182
28	126	481	49	509	601
29	49	168	126	173	11
30	481	126	601	472	477
31	63	97	113	316	11
32	49	63	270	173	97
33	270	316	311	97	99
34	311	270	97	49	425
35	11	55	49	311	425
36	168	11	63	113	97
37	113	63	11	49	270
38	481	49	126	63	173
39	126	601	481	97	49
40	168	113	126	481	482
41	168	126	11	113	481
42	11	425	481	355	472
43	168	11	481	113	126
44	173	63	97	171	168
45	425	316	97	63	270
46	126	55	22	601	481
47	316	168	126	11	509
48	113	126	316	481	406
49	126	55	601	63	97
50	168	173	316	11	311
51	113	63	316	481	49
52	168	172	113	126	316
53	63	171	173	97	168
54	11	168	63	481	601
55	11	316	126	601	509
56	168	173	97	311	171
57	481	168	316	113	482
58	168	113	133	659	300
59	168	113	601	316	126
60	63	270	11	49	311
61	481	49	425	168	406
62	481	113	63	126	168
63	168	481	63	113	482
64	11	406	113	481	472
65	173	63	171	11	97
66	49	97	168	173	601
67	97	601	63	173	509
68	63	49	55	126	481
69	11	49	63	316	113
70	168	126	481	601	482
71	481	168	113	131	472
72	481	168	601	133	49
73	481	126	601	63	513
74	49	97	173	63	311
75	126	481	133	168	283
76	113	168	11	316	198
77	186	97	63	173	49
78	316	425	113	481	186
79	406	113	425	316	11
80	63	49	173	509	481
81	11	113	198	172	496
82	168	601	316	11	97
83	173	49	168	481	509
84	601	168	126	482	113
85	126	97	425	481	49
86	481	126	168	11	601
87	270	186	316	49	283
88	113	425	316	11	481
89	126	168	49	482	113
90	63	168	11	659	198
91	113	126	49	481	601
92	63	173	49	97	481
93	173	168	198	113	509
94	173	316	168	11	113
95	113	425	11	355	222
96	113	126	481	316	11
97	481	316	113	472	425
98	316	601	126	97	270
99	126	49	601	11	173
100	63	97	173	601	171
101	11	168	481	113	482
102	63	173	316	168	172
103	481	55	168	63	97
104	134	481	126	49	63
105	126	316	481	49	509
106	601	134	126	22	191
107	481	168	509	113	63
108	113	482	168	481	133
109	49	173	126	601	481
110	126	601	97	481	425
111	173	601	63	126	481
112	311	55	63	481	97
113	482	49	168	601	11
114	49	133	168	481	601
115	481	126	11	63	168
116	63	113	126	168	481
117	49	168	11	481	126
118	168	126	113	481	97
119	97	316	63	11	311
120	481	63	168	601	198
121	113	316	406	11	49
122	316	11	406	472	168
123	113	168	126	11	316
124	168	113	11	49	126
125	186	49	126	11	316
126	49	168	173	63	113
127	316	113	11	472	406
128	97	49	186	316	99
129	601	168	126	481	113
130	113	425	481	316	168
131	509	481	133	168	601
132	63	49	126	481	601
133	270	63	49	601	316
134	49	168	173	113	63
135	168	481	49	509	133
136	63	168	11	601	97
137	49	126	168	133	173
138	133	49	55	481	601
139	425	63	186	270	601
140	63	173	601	49	97
141	49	113	173	11	126
142	63	97	49	11	601
143	481	168	113	601	509
144	11	63	168	601	113
145	481	134	49	126	601
146	425	49	186	55	270
147	316	173	481	11	509
148	99	186	425	601	49
149	55	126	11	113	186
150	184	509	126	7	283
151	113	63	316	11	406
152	601	168	316	481	11
153	168	126	481	601	11
154	97	186	63	311	270
155	168	601	481	126	49
156	63	481	97	126	509
157	173	113	168	11	63
158	311	63	97	49	316
159	481	113	133	316	11
160	168	316	482	601	63
161	113	168	11	63	126
162	481	126	601	49	11
163	173	97	63	49	601
164	113	63	425	481	49
165	63	270	97	173	311
166	481	49	126	509	173
167	97	49	63	173	601
168	131	425	113	316	11
169	311	270	97	49	63
170	186	425	49	126	601
171	168	472	482	126	509
172	270	97	126	55	311
173	113	316	63	406	425
174	316	113	425	355	481
175	55	481	601	126	63
176	168	601	481	113	509
177	11	168	113	601	190
178	126	49	11	601	63
179	481	425	113	63	406
180	481	97	311	173	63
181	63	126	173	316	481
182	173	168	11	113	172
183	481	168	49	601	316
184	425	11	481	406	355
185	63	316	270	113	601
186	126	49	168	316	481
187	11	168	601	509	182
188	11	168	113	425	182
189	173	49	63	97	126
190	481	49	316	126	131
191	481	11	509	63	97
192	63	49	168	11	481
193	482	168	113	601	63
194	168	481	49	11	601
195	126	601	49	481	63
196	63	11	168	481	113
197	481	113	11	406	601
198	481	126	63	49	425
199	11	63	49	113	509
200	168	482	113	509	198
201	113	406	49	425	472
202	63	270	11	311	113
203	355	113	55	425	135
204	63	126	270	169	601
205	425	55	49	126	186
206	168	601	49	198	509
207	49	601	173	481	316
208	316	113	481	97	526
209	601	168	316	509	11
210	49	168	601	481	659
211	113	481	425	11	63
212	173	168	481	97	509
213	113	63	472	478	189
214	11	168	316	481	113
215	126	63	481	113	601
216	11	63	168	113	172
217	126	168	481	482	49
218	168	481	601	11	316
219	270	481	126	134	97
220	601	168	113	126	481
221	168	113	481	601	482
222	63	113	270	97	168
223	11	316	113	63	49
224	126	316	49	168	11
225	113	481	49	126	133
226	168	481	509	133	55
227	316	406	113	63	481
228	168	55	601	99	126
229	472	11	113	316	481
230	63	173	601	97	316
231	482	168	173	509	11
232	659	168	316	198	133
233	11	168	113	63	177
234	11	168	126	482	133
235	355	113	11	406	472
236	49	482	11	509	478
237	63	270	316	311	97
238	168	126	478	283	406
239	142	49	63	97	425
240	97	126	425	186	601
241	186	97	63	126	509
242	316	168	481	601	49
243	11	126	481	601	198
244	63	173	97	11	113
245	168	113	63	126	481
246	126	168	316	173	172
247	168	126	11	481	316
248	126	198	509	133	245
249	168	601	481	316	113
250	173	126	168	316	509
251	509	133	481	126	316
252	406	113	355	481	472
253	11	481	168	316	509
254	11	168	49	173	481
255	316	113	270	476	494
256	481	126	133	472	601
257	49	21	11	494	173
258	49	168	126	481	63
259	49	601	11	425	126
260	63	270	97	173	311
261	11	406	481	113	472
262	11	173	168	601	311
263	316	11	113	126	481
264	173	63	97	311	481
265	425	316	113	11	97
266	11	601	172	481	133
267	481	63	133	198	316
268	406	113	11	509	601
269	113	316	406	63	11
270	113	481	126	601	482
271	126	601	168	481	509
272	186	425	190	283	49
273	11	113	63	270	168
274	481	11	316	113	63
275	113	316	481	171	198
276	63	316	113	425	97
277	49	425	316	186	126
278	126	481	601	198	316
279	63	113	316	406	270
280	311	270	49	63	425
281	55	97	126	481	49
282	173	168	126	63	481
283	126	49	601	63	11
284	11	49	126	481	316
285	63	113	316	11	133
286	126	316	601	481	168
287	601	482	481	168	11
288	173	49	311	168	63
289	113	172	168	11	509
290	168	63	126	601	316
291	113	316	425	11	472
292	168	316	509	113	659
293	49	173	97	168	113
294	113	168	11	126	63
295	316	11	63	131	168
296	316	63	481	49	425
297	168	11	481	63	190
298	198	355	63	425	177
299	97	311	63	270	316
300	168	113	482	133	601
301	11	63	97	270	49
302	168	198	113	509	482
303	63	270	97	425	11
304	113	49	601	482	172
305	481	316	97	126	63
306	11	126	316	601	482
307	113	472	99	63	355
308	126	97	270	311	63
309	168	481	126	425	63
310	168	113	601	311	300
311	126	316	11	283	300
312	49	168	172	11	189
313	113	270	49	63	97
314	481	168	49	133	482
315	11	113	406	601	494
316	63	270	11	601	97
317	49	168	601	481	509
318	270	97	126	601	202
319	63	168	11	97	113
320	316	113	425	11	406
321	481	168	133	55	482
322	11	168	481	316	601
323	316	311	270	63	97
324	316	168	11	601	477
325	11	113	168	659	172
326	133	113	509	481	198
327	168	173	601	482	133
328	63	601	169	316	133
329	113	11	481	406	270
330	168	126	601	481	482
331	168	601	316	113	481
332	168	49	11	601	63
333	63	113	509	168	198
334	97	270	49	63	126
335	173	49	63	168	126
336	168	173	63	11	113
337	113	316	11	126	355
338	113	168	316	482	509
339	316	168	49	601	481
340	270	311	97	425	63
341	126	472	316	601	355
342	601	126	113	509	482
343	113	11	425	316	481
344	113	425	126	481	355
345	481	168	113	97	198
346	173	63	168	316	601
347	63	316	97	270	11
348	173	168	63	49	97
349	49	168	11	133	113
350	11	63	49	270	173
351	63	113	316	49	126
352	131	134	126	202	63
353	406	425	472	113	11
354	126	97	49	202	270
355	168	49	97	11	186
356	63	97	173	49	601
357	601	481	472	133	482
358	168	173	63	97	481
359	168	601	11	113	316
360	126	168	481	113	482
361	270	49	316	63	601
362	126	481	316	63	482
363	270	55	169	63	126
364	126	481	49	509	311
365	113	11	49	63	481
366	168	63	11	481	173
367	168	11	173	481	113
368	316	168	126	481	173
369	168	126	481	482	477
370	168	316	481	11	601
371	316	63	126	113	355
372	406	472	11	481	97
373	168	601	113	509	198
374	11	49	173	126	63
375	316	113	481	11	406
376	49	63	481	173	11
377	49	168	126	481	198
378	113	168	482	481	316
379	168	126	316	482	173
380	601	126	168	49	316
381	126	168	481	601	11
382	168	126	11	509	316
383	126	63	481	49	601
384	472	316	177	645	511
385	63	168	173	601	97
386	481	482	133	283	472
387	63	49	173	270	601
388	316	113	11	406	509
389	316	63	425	11	113
390	11	168	198	63	113
391	481	601	482	472	11
392	126	601	173	97	113
393	173	63	168	126	316
394	481	168	11	172	509
395	49	63	97	173	311
396	168	601	11	283	113
397	168	509	316	113	481
398	173	168	481	126	482
399	49	270	316	425	172
400	425	11	113	472	131
401	63	126	168	113	173
402	97	63	173	601	311
403	173	49	601	97	63
404	113	126	481	472	406
405	168	601	113	482	659
406	113	173	11	316	601
407	601	49	481	126	55
408	482	168	316	113	283
409	49	186	190	425	316
410	168	63	11	481	172
411	126	49	481	11	316
412	49	481	126	63	97
413	481	134	126	97	55
414	601	168	11	126	49
415	113	481	355	406	476
416	49	113	316	406	472
417	49	168	601	270	512
418	168	601	481	482	316
419	481	601	133	11	425
420	113	316	63	481	168
421	168	55	113	481	11
422	63	49	601	97	173
423	113	316	311	270	11
424	168	113	481	133	198
425	168	11	477	126	113
426	270	126	97	63	311
427	601	55	126	97	49
428	182	601	472	168	245
429	168	481	49	173	509
430	21	270	601	63	11
431	63	97	173	55	171
432	126	481	133	509	601
433	63	270	311	11	97
434	481	113	482	11	133
435	113	316	63	11	476
436	113	425	63	126	472
437	63	113	316	270	97
438	63	11	113	316	425
439	481	126	11	49	186
440	173	49	63	481	171
441	49	168	11	126	113
442	63	270	311	481	49
443	11	113	316	63	601
444	133	113	168	481	509
445	97	270	481	126	49
446	63	168	113	126	11
447	55	126	601	481	99
448	55	481	168	509	11
449	273	482	406	7	311
450	270	97	126	311	601
451	113	168	11	126	509
452	173	168	63	126	481
453	49	601	126	509	182
454	168	63	481	601	198
455	113	133	481	168	63
456	425	406	126	494	601
457	355	172	509	113	477
458	601	168	63	481	311
459	425	113	316	481	55
460	63	126	481	316	509
461	425	316	97	63	11
462	113	425	316	186	190
463	270	63	316	481	173
464	601	482	481	172	425
465	168	63	11	113	482
466	168	126	55	481	523
467	168	481	509	133	482
468	11	49	168	477	425
469	126	55	481	186	168
470	63	481	168	173	316
471	168	126	113	97	481
472	133	55	481	316	186
473	168	601	113	97	406
